,TARGET,AVG_DPD,MAX_DPD,COUNT_LATE_PAYMENTS,PCT_LATE_PAYMENTS,AVG_PAYMENT_RATIO,MIN_PAYMENT_RATIO,AVG_PAYMENT_DEFICIT,TOTAL_PAYMENT_DEFICIT,COUNT_UNDERPAID,AVG_DAYS_EARLY,AMT_CREDIT,EXT_SOURCE_2,EXT_SOURCE_3
TARGET,1.0,0.010729072224667362,0.003783594563307415,0.027251631539652973,0.06115909192984967,-0.00036814563341261035,-0.03974621753225002,0.028835321639822293,0.0168178632173303,0.025922564976605108,-0.022021296827592508,-0.029069933615273564,-0.1626066844412423,-0.17719412049921257
AVG_DPD,0.010729072224667362,1.0,0.6481674428854546,0.09121223209184852,0.16722313737044842,-0.0010451340235423348,-0.1003886046517438,0.0661349334554271,0.03489379968691385,0.06675109968710417,-0.03238682686444763,0.00028474835858085655,-0.010585727780760381,-0.00783462678363864
MAX_DPD,0.003783594563307415,0.6481674428854546,1.0,0.16490515332125666,0.1552576740813734,-0.0014279409112896249,-0.17214343630071216,0.07301411754611406,0.07880298140372856,0.13741326213503569,-0.04781689876653455,0.004403669643212495,-0.0018783007421016437,-0.006712913611883002
COUNT_LATE_PAYMENTS,0.027251631539652973,0.09121223209184852,0.16490515332125666,1.0,0.6267830531235756,-0.0025046103014198084,-0.5868012701203834,0.3799208321693982,0.6355052052028898,0.8630637771573813,-0.21363952418023852,-0.000968774798214407,-0.009150092465389769,-0.08289809277697538
PCT_LATE_PAYMENTS,0.06115909192984967,0.16722313737044842,0.1552576740813734,0.6267830531235756,1.0,-0.004540961007068735,-0.5162420489147709,0.4265532577634017,0.3426572303122302,0.5176339055292221,-0.23362477686382238,-0.0353858608310985,-0.032248544778301746,-0.10118842294969026
AVG_PAYMENT_RATIO,-0.00036814563341261035,-0.0010451340235423348,-0.0014279409112896249,-0.0025046103014198084,-0.004540961007068735,1.0,0.006113200487851641,-0.0029130909802218426,0.00028428540247309126,-0.0020585016617957956,0.002863564693549227,0.0012938648577959547,-0.0010336389553975659,-0.0026671548760495724
MIN_PAYMENT_RATIO,-0.03974621753225002,-0.1003886046517438,-0.17214343630071216,-0.5868012701203834,-0.5162420489147709,0.006113200487851641,1.0,-0.5132996067539353,-0.48388195155399144,-0.6625484379620629,0.16941535982166958,0.0026775959150393503,0.01936769361589084,0.08523419488242825
AVG_PAYMENT_DEFICIT,0.028835321639822293,0.0661349334554271,0.07301411754611406,0.3799208321693982,0.4265532577634017,-0.0029130909802218426,-0.5132996067539353,1.0,0.7392334284030168,0.4899233019972451,-0.06554463864402635,0.015609441420217389,0.003937638814117161,-0.06352212406019912
TOTAL_PAYMENT_DEFICIT,0.0168178632173303,0.03489379968691385,0.07880298140372856,0.6355052052028898,0.3426572303122302,0.00028428540247309126,-0.48388195155399144,0.7392334284030168,1.0,0.7404542578814731,-0.09686466348515431,0.03127167669737681,0.010380280373008756,-0.05579994330072182
COUNT_UNDERPAID,0.025922564976605108,0.06675109968710417,0.13741326213503569,0.8630637771573813,0.5176339055292221,-0.0020585016617957956,-0.6625484379620629,0.4899233019972451,0.7404542578814731,1.0,-0.14722514655264646,-0.006835612244843771,-0.007551401551317267,-0.07484159247238559
AVG_DAYS_EARLY,-0.022021296827592508,-0.03238682686444763,-0.04781689876653455,-0.21363952418023852,-0.23362477686382238,0.002863564693549227,0.16941535982166958,-0.06554463864402635,-0.09686466348515431,-0.14722514655264646,1.0,-0.011099556650456416,-0.0007595903430399272,0.04152428010181264
AMT_CREDIT,-0.029069933615273564,0.00028474835858085655,0.004403669643212495,-0.000968774798214407,-0.0353858608310985,0.0012938648577959547,0.0026775959150393503,0.015609441420217389,0.03127167669737681,-0.006835612244843771,-0.011099556650456416,1.0,0.12991015197181827,0.04107708701062086
EXT_SOURCE_2,-0.1626066844412423,-0.010585727780760381,-0.0018783007421016437,-0.009150092465389769,-0.032248544778301746,-0.0010336389553975659,0.01936769361589084,0.003937638814117161,0.010380280373008756,-0.007551401551317267,-0.0007595903430399272,0.12991015197181827,1.0,0.10877105957894764
EXT_SOURCE_3,-0.17719412049921257,-0.00783462678363864,-0.006712913611883002,-0.08289809277697538,-0.10118842294969026,-0.0026671548760495724,0.08523419488242825,-0.06352212406019912,-0.05579994330072182,-0.07484159247238559,0.04152428010181264,0.04107708701062086,0.10877105957894764,1.0
