feature,importance
CREDIT_TERM_MONTHS,612.2
INST_TOTAL_INSTALLMENTS,238.8
EXT_SOURCE_3,218.4
DAYS_ID_PUBLISH,207.8
AMT_ANNUITY,195.40000000000003
INST_AVG_DAYS_EARLY,187.60000000000002
DAYS_LAST_PHONE_CHANGE,185.0
DAYS_BIRTH,184.0
EXT_SOURCE_X_AGE,182.40000000000003
EXT_SOURCE_WEIGHTED,179.2
CREDIT_TO_GOODS_RATIO,175.60000000000002
AGE_YEARS,167.8
DAYS_REGISTRATION,163.4
EXT_SOURCE_MEAN,159.2
INST_REC180_COUNT,154.6
EXT_SOURCE_1,152.8
AMT_GOODS_PRICE,152.2
EXT_SOURCE_PRODUCT,149.0
PAYMENT_BURDEN_INDEX,145.4
EXT_SOURCE_X_EMPLOYED,143.4
EXT_SOURCE_2,141.8
REGION_POPULATION_RELATIVE,135.6
EMPLOYMENT_TO_AGE_RATIO,130.8
CREDIT_TO_AGE_RATIO,130.39999999999998
EXT_SOURCE_MIN,124.4
AMT_CREDIT,123.2
INST_PCT_LATE,119.60000000000002
EXT_SOURCE_MAX,117.39999999999999
EXT_SOURCE_X_DTI,108.0
INST_AVG_PAYMENT_RATIO,107.8
CREDIT_TO_INCOME_RATIO,106.39999999999999
INCOME_PER_FAMILY_MEMBER,99.2
EXT_SOURCE_STD,99.19999999999999
OWN_CAR_AGE,97.39999999999999
ANNUITY_TO_INCOME_RATIO,95.80000000000001
DISPOSABLE_INCOME_PER_MEMBER,89.00000000000001
AMT_INCOME_TOTAL,86.8
INST_DPD_VELOCITY,84.8
CODE_GENDER,84.39999999999999
ORGANIZATION_TYPE,80.6
INST_MAX_DEFICIT,80.4
EXT_SOURCE_1_IS_MISSING,80.0
INST_AVG_DPD,79.80000000000001
NAME_EDUCATION_TYPE,78.79999999999998
OCCUPATION_TYPE,78.60000000000001
NAME_FAMILY_STATUS,72.4
HOUR_APPR_PROCESS_START,65.4
INST_MAX_DPD,65.0
INST_REC180_AVG_DPD,60.6
DAYS_EMPLOYED,59.8
REGION_RATING_CLIENT_W_CITY,55.60000000000001
FLAG_OWN_CAR,52.60000000000001
AMT_REQ_CREDIT_BUREAU_QRT,52.6
INST_MIN_PAYMENT_RATIO,49.4
INST_PAYMENT_RATIO_STD,49.0
INST_PCT_UNDERPAID,47.2
YEARS_EMPLOYED,46.4
INST_DEFICIT_VELOCITY,44.8
FLAG_DOCUMENT_3,44.8
AMT_REQ_CREDIT_BUREAU_YEAR,43.39999999999999
INST_TOTAL_DEFICIT,41.4
INST_COUNT_LATE,40.800000000000004
WEEKDAY_APPR_PROCESS_START,40.2
INST_AVG_DEFICIT,39.8
DEF_30_CNT_SOCIAL_CIRCLE,39.199999999999996
NAME_INCOME_TYPE,39.0
INST_COUNT_MISSED,38.6
FLAG_WORK_PHONE,38.0
INST_REC180_AVG_DEFICIT,37.0
TOTALAREA_MODE,35.199999999999996
EXT_SOURCE_3_IS_MISSING,34.599999999999994
NONLIVINGAREA_AVG,33.6
YEARS_BEGINEXPLUATATION_MEDI,33.400000000000006
INST_REC180_PCT_LATE,33.199999999999996
INST_COUNT_UNDERPAID,32.199999999999996
DEF_60_CNT_SOCIAL_CIRCLE,30.400000000000002
OBS_30_CNT_SOCIAL_CIRCLE,30.4
AMT_REQ_CREDIT_BUREAU_MON,29.799999999999997
NAME_CONTRACT_TYPE,29.599999999999998
BASEMENTAREA_MODE,29.199999999999996
LANDAREA_AVG,28.8
YEARS_BEGINEXPLUATATION_AVG,28.6
NONLIVINGAREA_MODE,28.599999999999998
APARTMENTS_AVG,28.4
BASEMENTAREA_AVG,27.2
YEARS_BEGINEXPLUATATION_MODE,27.2
APARTMENTS_MODE,26.0
LANDAREA_MODE,25.4
OBS_60_CNT_SOCIAL_CIRCLE,25.0
REG_CITY_NOT_LIVE_CITY,24.6
NAME_HOUSING_TYPE,23.999999999999996
BASEMENTAREA_MEDI,23.4
LIVINGAREA_MODE,22.8
LIVINGAPARTMENTS_AVG,22.2
COMMONAREA_MODE,21.599999999999998
NONLIVINGAPARTMENTS_AVG,21.400000000000002
COMMONAREA_AVG,21.4
NONLIVINGAREA_MEDI,21.200000000000003
YEARS_BUILD_AVG,21.2
DEBT_TO_INCOME_RATIO,20.6
LIVINGAREA_AVG,20.6
FLAG_DOCUMENT_18,19.0
NONLIVINGAPARTMENTS_MODE,19.0
CNT_FAM_MEMBERS,18.8
LANDAREA_MEDI,18.8
LIVINGAREA_MEDI,17.6
WALLSMATERIAL_MODE,17.599999999999998
YEARS_BUILD_MODE,16.8
ENTRANCES_AVG,16.400000000000002
COMMONAREA_MEDI,16.4
FLOORSMAX_AVG,15.8
APARTMENTS_MEDI,15.6
LIVINGAPARTMENTS_MEDI,15.200000000000001
FLAG_DOCUMENT_16,15.2
NAME_TYPE_SUITE,15.0
LIVINGAPARTMENTS_MODE,14.6
AMT_REQ_CREDIT_BUREAU_WEEK,14.400000000000002
YEARS_BUILD_MEDI,13.600000000000001
FLOORSMIN_AVG,13.600000000000001
ENTRANCES_MODE,13.4
FLAG_DOCUMENT_13,11.4
ELEVATORS_AVG,10.4
NONLIVINGAPARTMENTS_MEDI,10.4
CNT_CHILDREN,10.4
FLOORSMAX_MEDI,9.6
ENTRANCES_MEDI,9.2
REGION_RATING_CLIENT,9.2
FONDKAPREMONT_MODE,9.0
FLOORSMAX_MODE,8.600000000000001
FLAG_PHONE,8.600000000000001
FLAG_OWN_REALTY,7.799999999999999
FLAG_DOCUMENT_14,7.6000000000000005
FLOORSMIN_MODE,6.6000000000000005
REG_CITY_NOT_WORK_CITY,5.8
AMT_REQ_CREDIT_BUREAU_DAY,5.8
ELEVATORS_MODE,5.8
LIVE_CITY_NOT_WORK_CITY,5.4
FLAG_DOCUMENT_15,5.2
ELEVATORS_MEDI,4.6
LIVE_REGION_NOT_WORK_REGION,4.4
FLAG_EMAIL,4.3999999999999995
EXT_SOURCE_2_IS_MISSING,3.8000000000000003
FLAG_DOCUMENT_8,3.4
REG_REGION_NOT_LIVE_REGION,3.2
EMERGENCYSTATE_MODE,3.0000000000000004
FLOORSMIN_MEDI,3.0
FLAG_DOCUMENT_11,2.4000000000000004
HOUSETYPE_MODE,2.4
REG_REGION_NOT_WORK_REGION,2.2
FLAG_DOCUMENT_5,2.0
NO_INSTALLMENT_HISTORY,1.4
FLAG_DOCUMENT_6,1.2000000000000002
FLAG_DOCUMENT_9,0.6000000000000001
AMT_REQ_CREDIT_BUREAU_HOUR,0.4
FLAG_DOCUMENT_20,0.2
FLAG_DOCUMENT_19,0.2
FLAG_DOCUMENT_17,0.2
FLAG_MOBIL,0.0
FLAG_EMP_PHONE,0.0
FLAG_CONT_MOBILE,0.0
FLAG_DOCUMENT_7,0.0
FLAG_DOCUMENT_4,0.0
FLAG_DOCUMENT_2,0.0
FLAG_DOCUMENT_10,0.0
DAYS_EMPLOYED_ANOM,0.0
FLAG_DOCUMENT_12,0.0
FLAG_DOCUMENT_21,0.0
