threshold,approval_rate,portfolio_default_rate,approved_good_tn,approved_bad_fn,rejected_good_fp,rejected_bad_tp,interest_earned_usd,default_losses_usd,net_profit_usd
0.01,4.2274910491006824e-05,0.07692307692307693,12,1,282674,24824,696000.0,-302000.0,394000.0
0.0198989898989899,0.0008194828802872092,0.003968253968253968,251,1,282435,24824,14558000.0,-302000.0,14256000.0
0.029797979797979796,0.003060053136310571,0.0021253985122210413,939,2,281747,24823,54462000.0,-604000.0,53858000.0
0.039696969696969696,0.006920077655758656,0.005169172932330827,2117,11,280569,24814,122786000.0,-3322000.0,119464000.0
0.049595959595959596,0.012714992309218206,0.005626598465473146,3888,22,278798,24803,225504000.0,-6644000.0,218860000.0
0.059494949494949496,0.020483820090988616,0.005080171455786633,6267,32,276419,24793,363486000.0,-9664000.0,353822000.0
0.06939393939393938,0.029231474646435412,0.00467237735009456,8947,42,273739,24783,518926000.0,-12684000.0,506242000.0
0.07929292929292929,0.039579071968157235,0.006490838879303262,12092,79,270594,24746,701336000.0,-23858000.0,677478000.0
0.08919191919191918,0.051259954928441584,0.006914927361542853,15654,109,267032,24716,907932000.0,-32918000.0,875014000.0
0.09909090909090908,0.06418306987392321,0.007194609109793788,19595,142,263091,24683,1136510000.0,-42884000.0,1093626000.0
0.10898989898989898,0.07827037081600333,0.007810877061780714,23881,188,258805,24637,1385098000.0,-56776000.0,1328322000.0
0.11888888888888888,0.09319991805171197,0.008722958827634334,28410,250,254276,24575,1647780000.0,-75500000.0,1572280000.0
0.12878787878787878,0.1087603370285941,0.009538047540738526,33126,319,249560,24506,1921308000.0,-96338000.0,1824970000.0
0.1386868686868687,0.12494187199807487,0.01002056167200229,38036,385,244650,24440,2206088000.0,-116270000.0,2089818000.0
0.1485858585858586,0.1413412853523939,0.010813546843364623,42994,470,239692,24355,2493652000.0,-141940000.0,2351712000.0
0.15848484848484848,0.15817320356019784,0.011451480263157895,48083,557,234603,24268,2788814000.0,-168214000.0,2620600000.0
0.16838383838383839,0.1751286945832832,0.01221821963085379,53196,658,229490,24167,3085368000.0,-198716000.0,2886652000.0
0.1782828282828283,0.19242888872267985,0.012792780613107109,58417,757,224269,24068,3388186000.0,-228614000.0,3159572000.0
0.18818181818181817,0.2105745810718966,0.013728881613491058,63865,889,218821,23936,3704170000.0,-268478000.0,3435692000.0
0.19808080808080808,0.22846337204197573,0.014376200982136503,69245,1010,213441,23815,4016210000.0,-305020000.0,3711190000.0
0.207979797979798,0.24653101840259373,0.015327590982838903,74649,1162,208037,23663,4329642000.0,-350924000.0,3978718000.0
0.21787878787878787,0.2645986647632117,0.015878673172170538,80075,1292,202611,23533,4644350000.0,-390184000.0,4254166000.0
0.22777777777777777,0.28246794423614113,0.01691188321705694,85393,1469,197293,23356,4952794000.0,-443638000.0,4509156000.0
0.23767676767676768,0.3002526738880886,0.017318127172888845,90732,1599,191954,23226,5262456000.0,-482898000.0,4779558000.0
0.24757575757575756,0.31802764779146114,0.01818051678476845,96019,1778,186667,23047,5569102000.0,-536956000.0,5032146000.0
0.25747474747474747,0.3355619798966541,0.01872292589326382,101257,1932,181429,22893,5872906000.0,-583464000.0,5289442000.0
0.2673737373737374,0.35348003811245776,0.01962299561173516,106566,2133,176120,22692,6180828000.0,-644166000.0,5536662000.0
0.2772727272727273,0.3708842935699861,0.020324240909768438,111733,2318,170953,22507,6480514000.0,-700036000.0,5780478000.0
0.2871717171717172,0.38804465531314325,0.020900375435773666,116834,2494,165852,22331,6776372000.0,-753188000.0,6023184000.0
0.29707070707070704,0.4046456874713425,0.02129660138387727,121783,2650,160903,22175,7063414000.0,-800300000.0,6263114000.0
0.30696969696969695,0.42111989489806867,0.021861172673148056,126668,2831,156018,21994,7346744000.0,-854962000.0,6491782000.0
0.31686868686868686,0.43742825459902246,0.022540404716237715,131482,3032,151204,21793,7625956000.0,-915664000.0,6710292000.0
0.32676767676767676,0.4530894829778447,0.023419220555515683,136067,3263,146619,21562,7891886000.0,-985426000.0,6906460000.0
0.33666666666666667,0.4688677803395651,0.024212453704345896,140691,3491,141995,21334,8160078000.0,-1054282000.0,7105796000.0
0.3465656565656566,0.4846916045279681,0.024844345445762438,145345,3703,137341,21122,8430010000.0,-1118306000.0,7311704000.0
0.3564646464646465,0.49951383852935344,0.025669570199080765,149663,3943,133023,20882,8680454000.0,-1190786000.0,7489668000.0
0.36636363636363634,0.514596225826068,0.02657288743965016,154039,4205,128647,20620,8934262000.0,-1269910000.0,7664352000.0
0.37626262626262624,0.529785926357106,0.027443759015437497,158444,4471,124242,20354,9189752000.0,-1350242000.0,7839510000.0
0.38616161616161615,0.5440911056840243,0.02805503424698471,162620,4694,120066,20131,9431960000.0,-1417588000.0,8014372000.0
0.39606060606060606,0.5582889717766194,0.02875116495806151,166744,4936,115942,19889,9671152000.0,-1490672000.0,8180480000.0
0.40595959595959596,0.5721876615795858,0.029615695011196107,170743,5211,111943,19614,9903094000.0,-1573722000.0,8329372000.0
0.41585858585858587,0.5857806712605402,0.030438451375087435,174651,5483,108035,19342,10129758000.0,-1655866000.0,8473892000.0
0.4257575757575757,0.5994387192653271,0.031193377239141992,178584,5750,104102,19075,10357872000.0,-1736500000.0,8621372000.0
0.43565656565656563,0.6126057279251799,0.03205703274711625,182344,6039,100342,18786,10575952000.0,-1823778000.0,8752174000.0
0.44555555555555554,0.6251060937657514,0.03273213440359575,185935,6292,96751,18533,10784230000.0,-1900184000.0,8884046000.0
0.45545454545454545,0.6376129634387062,0.03350282802833639,189504,6569,93182,18256,10991232000.0,-1983838000.0,9007394000.0
0.46535353535353535,0.6502369020945592,0.0342477057337901,193107,6848,89579,17977,11200206000.0,-2068096000.0,9132110000.0
0.47525252525252526,0.6626332066169991,0.034986037974745664,196638,7129,86048,17696,11405004000.0,-2152958000.0,9252046000.0
0.4851515151515151,0.6747823655088762,0.0358067112282714,200073,7430,82613,17395,11604234000.0,-2243860000.0,9360374000.0
0.495050505050505,0.6866290961949328,0.03659079499493242,203420,7726,79266,17099,11798360000.0,-2333252000.0,9465108000.0
0.5049494949494949,0.6985473690372052,0.0375725637886328,206740,8071,75946,16754,11990920000.0,-2437442000.0,9553478000.0
0.5148484848484849,0.7099778544507351,0.038373807975229705,209948,8378,72738,16447,12176984000.0,-2530156000.0,9646828000.0
0.5247474747474747,0.7212359883061094,0.039217631251465365,213090,8698,69596,16127,12359220000.0,-2626796000.0,9732424000.0
0.5346464646464646,0.732321770603328,0.04018703623938152,216147,9050,66539,15775,12536526000.0,-2733100000.0,9803426000.0
0.5445454545454546,0.743235201342391,0.04111518991218667,219156,9397,63530,15428,12711048000.0,-2837894000.0,9873154000.0
0.5544444444444444,0.7537649059708433,0.041942957233024575,222069,9722,60617,15103,12880002000.0,-2936044000.0,9943958000.0
0.5643434343434344,0.7643694046717028,0.04298623283358576,224948,10104,57738,14721,13046984000.0,-3051408000.0,9995576000.0
0.5742424242424242,0.7748340709763228,0.04386200528811852,227819,10451,54867,14374,13213502000.0,-3156202000.0,10057300000.0
0.5841414141414141,0.784967041829398,0.044712617964587836,230593,10793,52093,14032,13374394000.0,-3259486000.0,10114908000.0
0.594040404040404,0.795321142983503,0.04581101525125731,233366,11204,49320,13621,13535228000.0,-3383608000.0,10151620000.0
0.6039393939393939,0.8052037162898238,0.04673093465907944,236038,11571,46648,13254,13690204000.0,-3494442000.0,10195762000.0
0.6138383838383838,0.815226121992384,0.04753261983876565,238775,11916,43911,12909,13848950000.0,-3598632000.0,10250318000.0
0.6237373737373737,0.8247379768528605,0.04852217525708157,241310,12306,41376,12519,13995980000.0,-3716412000.0,10279568000.0
0.6336363636363637,0.8342563355457203,0.04957843324510901,243824,12719,38862,12106,14141792000.0,-3841138000.0,10300654000.0
0.6435353535353535,0.8432511357317299,0.050623001901206666,246182,13127,36504,11698,14278556000.0,-3964354000.0,10314202000.0
0.6534343434343434,0.8525678756207095,0.051812918138335606,248590,13584,34096,11241,14418220000.0,-4102368000.0,10315852000.0
0.6633333333333333,0.8614163395780964,0.052866230015666586,250891,14004,31795,10821,14551678000.0,-4229208000.0,10322470000.0
0.6732323232323232,0.8700859481449444,0.053946576668498024,253127,14434,29559,10391,14681366000.0,-4359068000.0,10322298000.0
0.6831313131313131,0.87858970898602,0.055056703778277864,255301,14875,27385,9950,14807458000.0,-4492250000.0,10315208000.0
0.693030303030303,0.8869113625203652,0.056087410856692395,257438,15297,25248,9528,14931404000.0,-4619694000.0,10311710000.0
0.702929292929293,0.895099687490854,0.057245515943513785,259496,15757,23190,9068,15050768000.0,-4758614000.0,10292154000.0
0.7128282828282828,0.9030733859926962,0.05842170648709962,261481,16224,21205,8601,15165898000.0,-4899648000.0,10266250000.0
0.7227272727272727,0.9110796036564546,0.059696538136183065,263442,16725,19244,8100,15279636000.0,-5050950000.0,10228686000.0
0.7326262626262626,0.9185915300590873,0.060833271381386805,265293,17184,17393,7641,15386994000.0,-5189568000.0,10197426000.0
0.7425252525252525,0.9259896393950136,0.0621839354947463,267045,17707,15641,7118,15488610000.0,-5347514000.0,10141096000.0
0.7524242424242424,0.9329389842964967,0.06342174150978253,268694,18195,13992,6630,15584252000.0,-5494890000.0,10089362000.0
0.7623232323232323,0.9398590619522553,0.06460519623413155,270345,18672,12341,6153,15680010000.0,-5638944000.0,10041066000.0
0.7722222222222221,0.9464799633183854,0.06579901255097868,271902,19151,10784,5674,15770316000.0,-5783602000.0,9986714000.0
0.7821212121212121,0.9526813674957969,0.0670910704533042,273305,19655,9381,5170,15851690000.0,-5935810000.0,9915880000.0
0.792020202020202,0.9586388779588373,0.06822776737496268,274679,20113,8007,4712,15931382000.0,-6074126000.0,9857256000.0
0.8019191919191919,0.9642484333893747,0.06957779823753782,275886,20631,6800,4194,16001388000.0,-6230562000.0,9770826000.0
0.8118181818181818,0.9695360491169421,0.07081165749321634,277031,21112,5655,3713,16067798000.0,-6375824000.0,9691974000.0
0.8217171717171717,0.9743033582538511,0.07198048122719945,278043,21566,4643,3259,16126494000.0,-6512932000.0,9613562000.0
0.8316161616161616,0.97874872768779,0.07308556163946626,278979,21997,3707,2828,16180782000.0,-6643094000.0,9537688000.0
0.8415151515151514,0.9829306919102081,0.07423361189961027,279824,22438,2862,2387,16229792000.0,-6776276000.0,9453516000.0
0.8514141414141414,0.9865728380448179,0.07546261808545003,280488,22894,2198,1931,16268304000.0,-6913988000.0,9354316000.0
0.8613131313131313,0.9896133796839788,0.0764531721855828,281051,23266,1635,1559,16300958000.0,-7026332000.0,9274626000.0
0.8712121212121212,0.9923027143744452,0.0774355714023543,281515,23629,1171,1196,16327870000.0,-7135958000.0,9191912000.0
0.8811111111111111,0.9946050710381092,0.07830911682774676,281901,23951,785,874,16350258000.0,-7233202000.0,9117056000.0
0.891010101010101,0.9963741134463483,0.0790382380971031,282179,24217,507,608,16366382000.0,-7313534000.0,9052848000.0
0.9009090909090909,0.9977724374087431,0.0796347115303136,282392,24434,294,391,16378736000.0,-7379068000.0,8999668000.0
0.9108080808080807,0.9987577680148028,0.08002174981848019,282552,24577,134,248,16388016000.0,-7422254000.0,8965762000.0
0.9207070707070707,0.9994211589178924,0.08040464252130425,282622,24711,64,114,16392076000.0,-7462722000.0,8929354000.0
0.9306060606060605,0.9997008237103714,0.08056105836008835,282653,24766,33,59,16393874000.0,-7479332000.0,8914542000.0
0.9405050505050505,0.999915450179018,0.08069336715612144,282673,24812,13,13,16395034000.0,-7493224000.0,8901810000.0
0.9504040404040404,0.9999772365866587,0.08072090119152922,282682,24822,4,3,16395556000.0,-7496244000.0,8899312000.0
0.9603030303030302,0.9999967480838083,0.08072908198107379,282685,24825,1,0,16395730000.0,-7497150000.0,8898580000.0
0.9702020202020202,1.0,0.08072881945686496,282686,24825,0,0,16395788000.0,-7497150000.0,8898638000.0
0.98010101010101,1.0,0.08072881945686496,282686,24825,0,0,16395788000.0,-7497150000.0,8898638000.0
0.99,1.0,0.08072881945686496,282686,24825,0,0,16395788000.0,-7497150000.0,8898638000.0
